date	open	high	low	close	volume	market_cap
Oct 17, 2020	1.17	1.21	1.14	1.17	2,094,611	59,531,519
Oct 16, 2020	1.33	1.33	1.15	1.17	2,224,431	59,004,947
Oct 15, 2020	1.35	1.37	1.32	1.33	2,428,327	67,121,700
Oct 14, 2020	1.35	1.37	1.30	1.34	2,318,797	67,697,068
Oct 13, 2020	1.35	1.38	1.30	1.34	2,413,418	67,493,700
Oct 12, 2020	1.38	1.42	1.30	1.39	2,572,211	69,796,198
Oct 11, 2020	1.46	1.47	1.35	1.36	2,750,845	68,123,346
Oct 10, 2020	1.29	1.52	1.28	1.45	3,268,038	72,479,214
Oct 09, 2020	1.31	1.35	1.26	1.28	2,492,022	63,498,449
Oct 08, 2020	1.20	1.31	1.11	1.29	2,991,634	64,009,673
Oct 07, 2020	0.997192	1.25	0.984642	1.20	3,314,253	59,455,959
Oct 06, 2020	1.24	1.28	0.989064	0.999554	2,533,764	49,313,396
Oct 05, 2020	1.37	1.39	1.21	1.25	2,682,572	61,529,229
Oct 04, 2020	1.46	1.47	1.33	1.37	2,554,466	67,159,216
Oct 03, 2020	1.53	1.59	1.46	1.46	2,638,948	71,587,018
Oct 02, 2020	1.54	1.54	1.47	1.52	3,070,290	74,368,447
Oct 01, 2020	1.57	1.72	1.47	1.55	3,323,950	75,585,999
Sep 30, 2020	1.65	1.65	1.53	1.57	2,569,038	76,079,103
Sep 29, 2020	1.66	1.72	1.50	1.64	3,754,571	79,303,017
Sep 28, 2020	1.53	1.96	1.53	1.66	8,937,244	72,219,777
Sep 27, 2020	1.78	1.79	1.53	1.53	3,269,865	66,618,694
Sep 26, 2020	1.89	1.92	1.77	1.79	5,051,057	77,768,079
Sep 25, 2020	2.28	2.30	1.88	1.89	7,373,413	82,183,574
Sep 24, 2020	1.81	3.62	1.81	2.28	36,042,256	99,046,433
Sep 23, 2020	1.73	1.83	1.69	1.82	1,911,382	79,069,147
Sep 22, 2020	1.74	1.75	1.65	1.68	628,010	73,048,374
Sep 21, 2020	1.72	1.84	1.71	1.74	870,372	75,590,692
Sep 20, 2020	1.71	1.80	1.71	1.72	733,317	74,868,376
Sep 19, 2020	1.68	1.82	1.67	1.71	832,126	74,635,257
Sep 18, 2020	1.73	1.79	1.64	1.68	813,258	73,037,454
Sep 17, 2020	1.61	1.79	1.45	1.73	758,290	75,388,055
Sep 16, 2020	1.32	1.78	1.27	1.61	1,785,296	69,905,596
Sep 15, 2020	1.39	1.39	1.21	1.32	523,151	57,536,807
Sep 14, 2020	1.28	1.42	1.15	1.39	588,604	60,526,361
Sep 13, 2020	1.29	1.30	1.13	1.28	567,225	55,717,345
Sep 12, 2020	1.25	1.36	1.22	1.29	502,479	56,013,309
Sep 11, 2020	1.31	1.43	1.21	1.25	434,691	54,498,006
Sep 10, 2020	1.26	1.43	1.23	1.31	625,977	57,110,265
Sep 09, 2020	1.34	1.36	1.21	1.26	413,203	0
Sep 08, 2020	1.25	1.40	1.21	1.34	424,900	0
Sep 07, 2020	1.21	1.43	1.17	1.25	393,751	0
Sep 06, 2020	1.39	1.49	1.07	1.21	397,476	0
Sep 05, 2020	1.53	1.60	1.26	1.39	526,829	0
Sep 04, 2020	1.67	1.73	1.52	1.53	838,007	0
Sep 03, 2020	1.68	1.74	1.64	1.67	1,656,486	0
Sep 02, 2020	1.66	1.74	1.53	1.68	529,148	0
Sep 01, 2020	1.75	1.78	1.66	1.66	445,641	0
Aug 31, 2020	1.65	1.87	1.65	1.75	599,062	0
Aug 30, 2020	1.67	1.85	1.65	1.65	438,239	0
Aug 29, 2020	1.67	1.88	1.66	1.67	555,347	0
Aug 28, 2020	1.74	1.86	1.66	1.67	637,321	0
Aug 27, 2020	1.91	1.91	1.65	1.74	798,204	0
Aug 26, 2020	1.50	1.92	1.45	1.91	1,376,884	0
Aug 25, 2020	1.52	1.65	1.46	1.50	564,432	0
Aug 24, 2020	1.50	1.68	1.46	1.52	615,167	0
Aug 23, 2020	1.50	1.65	1.41	1.50	554,154	0
Aug 22, 2020	1.53	1.63	1.37	1.50	512,160	0
Aug 21, 2020	1.51	1.70	1.50	1.53	431,790	0
Aug 20, 2020	1.62	1.93	1.51	1.51	717,391	0
Aug 19, 2020	1.66	1.72	1.53	1.62	720,155	0
Aug 18, 2020	1.92	2.01	1.62	1.66	1,021,730	0
Aug 17, 2020	1.60	2.10	1.35	1.92	876,834	0
Aug 16, 2020	1.77	1.80	1.60	1.60	538,557	0
Aug 15, 2020	1.57	1.94	1.57	1.77	595,658	0
Aug 14, 2020	1.22	1.94	1.21	1.57	717,142	0
Aug 13, 2020	0.865543	1.63	0.856344	1.22	499,188	0
Aug 12, 2020	0.672540	0.866145	0.668768	0.865397	268,228	0
Aug 11, 2020	0.656930	0.683323	0.637254	0.674298	202,575	0
Aug 10, 2020	0.610086	0.667113	0.534122	0.657214	207,777	0
Aug 09, 2020	0.592171	0.662223	0.581679	0.610086	209,024	0
Aug 08, 2020	0.621095	0.682628	0.591329	0.591329	200,475	0
Aug 07, 2020	0.601237	0.680504	0.554321	0.621072	223,737	0
Aug 06, 2020	0.554873	0.701300	0.531596	0.600461	259,459	0
Aug 05, 2020	0.520609	0.737012	0.520189	0.554873	214,292	0
Aug 04, 2020	0.496370	0.629711	0.477950	0.522308	152,967	0
Aug 03, 2020	0.477532	0.615567	0.455498	0.496002	173,525	0
Aug 02, 2020	0.446893	0.656312	0.446195	0.478578	164,170	0
Aug 01, 2020	0.483334	0.514352	0.431643	0.446115	135,828	0
Jul 31, 2020	0.414596	0.626344	0.401423	0.483429	179,334	0
Jul 30, 2020	0.447301	0.474413	0.403419	0.414596	136,124	0
Jul 29, 2020	0.410499	0.447010	0.402466	0.422042	126,635	0
Jul 28, 2020	0.383095	0.447177	0.379218	0.412615	118,490	0
Jul 27, 2020	0.432988	0.450726	0.378930	0.383245	108,460	0
Jul 26, 2020	0.392925	0.441619	0.367396	0.432998	154,651	0
Jul 25, 2020	0.381793	0.408437	0.361723	0.393125	150,606	0
Jul 24, 2020	0.370436	0.432038	0.343309	0.380544	139,287	0
Jul 23, 2020	0.386470	0.402649	0.348377	0.370436	116,665	0
Jul 22, 2020	0.355783	0.410631	0.353352	0.386470	114,681	0
Jul 21, 2020	0.389508	0.401028	0.318609	0.354160	126,026	0
Jul 20, 2020	0.392032	0.449476	0.360048	0.389489	122,752	0
Jul 19, 2020	0.361325	0.403677	0.358860	0.392114	88,143.91	0
Jul 18, 2020	0.416671	0.425726	0.331549	0.362562	101,835	0
Jul 17, 2020	0.438033	0.444105	0.389719	0.415029	135,199	0
Jul 16, 2020	0.390548	0.453256	0.389270	0.438109	118,207	0
Jul 15, 2020	0.444670	0.448711	0.371622	0.390246	113,769	0
Jul 14, 2020	0.432333	0.446400	0.375097	0.444670	122,768	0
Jul 13, 2020	0.427905	0.449767	0.378549	0.432190	120,930	0
Jul 12, 2020	0.451912	0.501224	0.426036	0.427905	131,809	0
Jul 11, 2020	0.464972	0.499978	0.446454	0.450899	148,766	0
Jul 10, 2020	0.507942	0.511337	0.460587	0.464972	139,965	0
Jul 09, 2020	0.489732	0.518501	0.452475	0.508659	169,250	0
Jul 08, 2020	0.469193	0.495270	0.452405	0.491265	174,311	0
Jul 07, 2020	0.469992	0.494906	0.447966	0.469193	135,695	0
Jul 06, 2020	0.496231	0.499730	0.423061	0.469959	135,087	0
Jul 05, 2020	0.463942	0.505885	0.429227	0.496277	161,336	0
Jul 04, 2020	0.528350	0.531418	0.448697	0.459997	141,085	0
Jul 03, 2020	0.512619	0.531431	0.459204	0.527909	119,720	0
Jul 02, 2020	0.442356	0.537566	0.440640	0.513154	159,829	0
Jul 01, 2020	0.484898	0.768289	0.440724	0.443873	164,810	0
Jun 30, 2020	0.558372	0.561065	0.483714	0.486238	146,290	0
Jun 29, 2020	0.471469	0.563584	0.460004	0.560336	173,901	0
Jun 28, 2020	0.465284	0.511783	0.381790	0.471469	137,974	0
Jun 27, 2020	0.498114	0.532161	0.409341	0.465284	121,672	0
Jun 26, 2020	0.531541	0.551555	0.459971	0.497622	138,561	0
Jun 25, 2020	0.557511	0.640814	0.449378	0.531633	163,533	0
Jun 24, 2020	0.427806	0.542130	0.421585	0.542130	107,362	0
Jun 23, 2020	0.455324	0.476877	0.407854	0.429402	119,147	0
Jun 22, 2020	0.443273	0.482281	0.395878	0.454300	112,735	0
Jun 21, 2020	0.349894	0.481700	0.349675	0.449611	132,057	0
Jun 20, 2020	0.410193	0.482322	0.345363	0.356340	109,276	0
Jun 19, 2020	0.413362	0.482887	0.403567	0.403567	137,507	0
Jun 18, 2020	0.296585	0.440977	0.296249	0.413362	122,055	0
Jun 17, 2020	0.321920	0.323185	0.289996	0.296361	85,888.12	0
Jun 16, 2020	0.375677	0.391116	0.313565	0.321992	97,181.69	0
Jun 15, 2020	0.326292	0.497925	0.300679	0.375721	118,513	0
Jun 14, 2020	0.329141	0.336357	0.302157	0.326149	100,285	0
Jun 13, 2020	0.328544	0.338803	0.300804	0.328925	89,670.54	0
Jun 12, 2020	0.285552	0.331206	0.285237	0.328463	92,563.80	0
Jun 11, 2020	0.276145	0.351870	0.275626	0.291165	87,566.80	0
Jun 10, 2020	0.272866	0.315967	0.253391	0.276225	82,810.36	0
Jun 09, 2020	0.272190	0.283733	0.254260	0.272145	66,395.31	0
Jun 08, 2020	0.273462	0.279798	0.270841	0.277823	83,279.09	0
